Accelerometer,,,
t (msec),Accel x, Accel y, Accel z
0,-2.76,4.9,8.27
67.59,-2.76,4.9,8.27
87.55,-2.76,4.9,9.19
107.79,-1.38,4.9,9.19
127.66,-1.38,4.9,9.19
147.54,-1.38,4.9,9.19
167.53,-1.69,4.9,8.89
187.46,-1.69,4.9,8.89
207.51,-1.69,4.44,8.89
227.59,-1.69,4.44,8.89
247.65,-1.38,4.44,6.44
267.56,-1.38,5.36,6.44
287.59,-1.38,5.36,6.44
307.54,-1.38,5.36,6.44
327.58,0.61,5.36,6.44
347.52,0.61,4.75,6.44
367.56,0.61,4.75,6.44
387.59,0.61,4.75,6.44
407.53,3.22,4.75,6.44
427.56,3.22,5.98,6.44
447.55,3.22,5.98,6.44
467.56,4.6,5.98,6.44
487.54,4.6,5.98,7.81
507.46,4.6,5.52,7.81
527.54,4.6,5.52,7.81
547.53,4.6,5.52,7.81
567.56,4.6,4.75,6.74
587.59,4.6,4.75,6.74
607.51,5.21,4.75,6.74
627.58,5.21,4.75,6.74
647.58,5.21,3.37,6.74
667.56,5.21,3.37,6.74
687.58,5.21,3.37,5.67
707.54,5.36,3.37,5.67
727.58,5.36,3.37,5.67
747.54,5.36,3.37,5.67
767.46,6.13,2.15,6.44
787.52,6.13,2.15,6.44
807.46,6.13,2.15,6.44
827.53,6.13,2.15,6.44
847.58,7.2,2.15,5.52
867.57,7.2,2.15,5.52
887.57,7.2,2.45,5.52
907.49,7.2,2.45,5.52
927.59,3.68,2.45,7.51
947.56,3.68,2.45,7.51
967.52,3.68,4.29,7.51
987.56,3.68,4.29,7.51
1007.54,2.3,4.29,6.9
1027.59,2.3,4.29,6.9
1047.54,2.3,4.44,6.9
1067.54,-2.76,4.44,7.97
1087.56,-2.76,4.44,7.97
1107.5,-2.76,5.36,7.97
1129.8,-2.76,5.36,7.97
1147.49,-5.52,5.36,5.98
1167.53,-5.52,5.36,5.98
1187.52,-5.52,3.22,5.98
1207.48,-4.44,3.22,6.74
1227.57,-4.44,3.22,6.74
1247.58,-4.44,3.22,6.74
1267.58,-4.44,2.3,6.74
1287.58,-5.67,2.3,5.82
1307.52,-5.67,2.3,5.82
1327.57,-5.67,2.3,5.82
1347.57,-5.67,1.84,5.82
1367.54,-5.36,1.84,8.27
1387.58,-5.36,1.84,8.27
1407.49,-5.36,1.23,8.27
1434.2,-5.36,1.23,8.27
1447.53,-4.75,1.23,9.19
1467.54,-4.75,1.23,9.19
1487.58,-4.75,0.15,9.19
1507.52,-4.75,0.15,7.97
1527.56,-4.75,0.15,7.97
1547.56,-4.14,0.15,7.97
1567.56,-4.14,1.23,7.97
1587.59,-4.14,1.23,8.12
1607.58,-4.14,1.23,8.12
1627.6,-3.22,1.23,8.12
1647.53,-3.22,1.23,9.96
1667.48,-3.22,1.23,9.96
1687.56,-3.22,1.23,9.96
1707.53,-3.37,2.15,9.96
1727.51,-3.37,2.15,9.96
1747.54,-3.37,2.15,10.27
1767.49,-3.37,2.15,10.27
1787.49,-3.37,2.45,10.27
1807.52,-2.76,2.45,10.27
1834.09,-2.76,2.45,9.96
1847.47,-2.76,3.22,9.96
1867.46,-2.76,3.22,9.96
1888.09,-1.99,3.22,9.96
1907.47,-1.99,3.22,9.96
1927.48,-1.99,3.22,8.43
1947.48,-1.53,4.29,8.43
1973.18,-1.53,4.29,8.43
1987.8,-1.53,4.29,8.43
